epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9383,0.7847,237.877,0.51052,0.00306,1,0.01131,0.00563,2.0675,47.3154,1.718,8e-05,8e-05,8e-05
2,84.3017,1.36042,62.1746,1.10144,0.068,0.5,0.51939,0.11529,1.55128,50.144,1.55882,0.000179109,0.000179109,0.000179109
3,129.76,0.38974,53.8327,0.41528,0.06547,0.5,0.10793,0.01408,1.8951,31.3246,1.63234,0.000277228,0.000277228,0.000277228
4,171.385,1.24366,37.5163,1.00185,0.26782,0.5,0.25306,0.10114,2.16697,18.6522,1.58391,0.000374357,0.000374357,0.000374357
5,218.568,0.62112,25.267,0.66018,0.01006,0.5,0.01106,0.00261,3.15041,18.9513,2.06649,0.000470496,0.000470496,0.000470496
6,263.397,0.99276,14.2502,0.6361,0.01187,0.5,0.00906,0.00197,3.79683,31.72,2.59964,0.000565645,0.000565645,0.000565645
7,308.798,1.66234,14.7148,1.25133,0,0,0,0,3.49107,81.3668,3.61482,0.000659804,0.000659804,0.000659804
8,351.473,0.58208,12.2308,0.65789,0.00061,1,0.00444,0.0014,2.85885,20.9777,2.71517,0.000752973,0.000752973,0.000752973
9,395.865,1.1909,8.70318,1.04159,0.00065,1,0.00137,0.00066,2.34092,7.36574,2.1145,0.000845152,0.000845152,0.000845152
10,441.002,0.73977,10.0821,0.71198,0.00139,1,0.00311,0.00108,1.56636,4.65107,1.60778,0.000936341,0.000936341,0.000936341
11,485.009,1.46188,6.31021,1.22826,0.07621,1,0.12437,0.07229,3.25407,9.83277,6.66421,0.00102654,0.00102654,0.00102654
12,528.453,0.3573,5.55421,0.27725,0.24543,0.5,0.57833,0.40507,1.60194,2.51515,5.7183,0.00111575,0.00111575,0.00111575
13,571.819,2.12022,4.64669,1.74044,0.00312,1,0.01592,0.00496,2.65445,3.82861,8.97974,0.00120397,0.00120397,0.00120397
14,615.356,1.72462,4.94129,1.43121,0.00312,1,0.01592,0.00496,2.65445,3.82861,8.97974,0.0012912,0.0012912,0.0012912
15,666.955,1.11519,3.65711,0.91859,0,0,0,0,5.30769,67.1757,15.0405,0.00137744,0.00137744,0.00137744
16,714.706,0,3.85945,0,0,0,0,0,0.02229,5713.64,1.0066,0.00146269,0.00146269,0.00146269
17,761.672,1.09256,3.74941,0.86145,0,0,0,0,0.43209,163.147,2.14087,0.00154694,0.00154694,0.00154694
18,805.936,1.91031,4.0454,1.4114,0,0,0,0,0.43209,163.147,2.14087,0.00163021,0.00163021,0.00163021
19,852.727,1.14524,3.58374,1.26671,0,0,0,0,5.87503,7.39164,8.40623,0.00171249,0.00171249,0.00171249
20,899.165,1.35228,3.4361,1.30459,0,0,0,0,3.11959,4.20817,3.19112,0.00179378,0.00179378,0.00179378
21,943.339,0.9896,2.73444,0.82597,0,0,0,0,3.11959,4.20817,3.19112,0.001802,0.001802,0.001802
22,989.148,2.06779,2.9558,2.39883,0,0,0,0,5.78617,133.313,9.75833,0.0017921,0.0017921,0.0017921
23,1031.53,1.97233,2.54234,2.12835,0.00038,0.5,0.00037,7e-05,3.5988,29.3287,11.1495,0.0017822,0.0017822,0.0017822
24,1076.15,1.29334,2.7762,1.06392,0.00038,0.5,0.00037,7e-05,3.5988,29.3287,11.1495,0.0017723,0.0017723,0.0017723
25,1118.52,1.95128,4.20305,1.48821,0,0,0,0,0,0.0429,0,0.0017624,0.0017624,0.0017624
26,1168.42,1.33212,3.6603,1.20139,0,0,0,0,0,0.0429,0,0.0017525,0.0017525,0.0017525
27,1213.11,1.85971,3.83565,1.90163,0,0,0,0,0,0.00045,0,0.0017426,0.0017426,0.0017426
28,1255.9,0.41813,1.67404,0.4675,0,0,0,0,0.00094,0.00259,0.00306,0.0017327,0.0017327,0.0017327
29,1303.01,1.18432,2.23405,1.02661,0,0,0,0,0.00094,0.00259,0.00306,0.0017228,0.0017228,0.0017228
30,1344.81,1.95893,4.1214,1.87383,0,0,0,0,5.3711,10.4872,11.2195,0.0017129,0.0017129,0.0017129
31,1386.23,0.43921,1.39347,0.42887,0,0,0,0,0,0.00159,2e-05,0.001703,0.001703,0.001703
