epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9944,2.80524,2.78956,2.24619,0.00384,1,0.005,0.00244,2.1865,114.257,1.64649,8e-05,8e-05,8e-05
2,95.7337,2.62747,2.07774,1.97615,0.00259,1,0.00472,0.0019,2.6886,83.7448,2.22168,0.000179109,0.000179109,0.000179109
3,146.656,2.44511,1.95118,1.84518,0.00236,1,0.00286,0.00098,2.88378,148.961,2.05673,0.000277228,0.000277228,0.000277228
4,188.659,2.29778,1.96378,1.74993,0.00086,1,0.00124,0.00063,4.15145,107.398,2.78425,0.000374357,0.000374357,0.000374357
5,237.466,2.34081,1.82975,1.76427,0.0009,1,0.00129,0.00024,4.24446,115.197,3.50769,0.000470496,0.000470496,0.000470496
6,276.717,2.23653,1.67273,1.67509,0.0003,0.5,0.00045,9e-05,4.19702,75.2227,3.22759,0.000565645,0.000565645,0.000565645
7,314.448,2.24048,1.67914,1.73325,0.00487,0.5,0.00294,0.00194,4.46848,130.353,3.58396,0.000659804,0.000659804,0.000659804
8,354.417,2.20024,1.64008,1.76845,0.03918,0.5,0.04566,0.03001,3.52554,166.042,2.6627,0.000752973,0.000752973,0.000752973
9,393.993,2.34317,1.70725,1.83758,0.0003,0.5,0.0003,0.00014,2.88519,135.033,2.56061,0.000845152,0.000845152,0.000845152
10,435.535,2.31644,1.75488,1.7968,0,0,0,0,2.20956,115.194,2.05092,0.000936341,0.000936341,0.000936341
11,482.15,2.23481,1.76591,1.72266,0,0,0,0,2.13449,62.5515,1.79123,0.00102654,0.00102654,0.00102654
12,528.805,2.2061,1.59924,1.75333,0.00061,1,0.0011,0.00053,2.51175,87.4022,2.15056,0.00111575,0.00111575,0.00111575
13,580.346,2.18321,1.746,1.73314,0.00344,0.5,0.00423,0.0017,2.82583,31.9396,2.38631,0.00120397,0.00120397,0.00120397
14,626.756,2.27198,1.63236,1.71243,0.00344,0.5,0.00423,0.0017,2.82583,31.9396,2.38631,0.0012912,0.0012912,0.0012912
15,666.907,2.1842,1.56032,1.66914,0.00855,0.5,0.00934,0.00359,2.80612,37.9015,2.50071,0.00137744,0.00137744,0.00137744
16,709.149,2.22279,1.593,1.67393,0.00973,0.5,0.01136,0.00456,2.51868,48.5388,2.5213,0.00146269,0.00146269,0.00146269
17,751.949,2.21498,1.66865,1.71939,0.05743,1,0.0737,0.02532,2.49973,45.4196,2.87783,0.00154694,0.00154694,0.00154694
18,794.57,2.22679,1.63781,1.69739,0.05743,1,0.0737,0.02532,2.49973,45.4196,2.87783,0.00163021,0.00163021,0.00163021
19,837.559,2.1747,1.53617,1.69681,0.25568,1,0.28429,0.10743,2.24616,46.222,2.90866,0.00171249,0.00171249,0.00171249
20,881.351,2.10577,1.53935,1.73272,0.0343,1,0.66333,0.24588,2.00149,194.684,5.77729,0.00179378,0.00179378,0.00179378
21,924.02,2.21086,1.53001,1.84558,0.0343,1,0.66333,0.24588,2.00149,194.684,5.77729,0.001802,0.001802,0.001802
22,968.816,2.09712,1.41225,1.67862,0.00244,1,0.00504,0.00144,2.67898,44.5738,3.25128,0.0017921,0.0017921,0.0017921
23,1012.04,2.08092,1.46062,1.65392,0.00061,1,0.00147,0.00061,2.98539,24.2114,4.28515,0.0017822,0.0017822,0.0017822
24,1083.76,2.07496,1.50281,1.61957,0.00061,1,0.00147,0.00061,2.98539,24.2114,4.28515,0.0017723,0.0017723,0.0017723
25,1159.19,2.07533,1.46704,1.64471,0.00061,1,0.00146,0.00054,3.32753,18.0621,4.76488,0.0017624,0.0017624,0.0017624
26,1232.17,2.10982,1.43474,1.63999,0.00061,1,0.00146,0.00054,3.32753,18.0621,4.76488,0.0017525,0.0017525,0.0017525
27,1304.98,2.02217,1.36607,1.59524,0.00061,1,0.00193,0.0007,3.38046,32.3207,4.44762,0.0017426,0.0017426,0.0017426
28,1382.97,2.1152,1.4618,1.6212,0.00061,1,0.00195,0.00093,2.76607,29.9729,4.39366,0.0017327,0.0017327,0.0017327
29,1458.27,2.054,1.32413,1.63658,0.00061,1,0.00195,0.00093,2.76607,29.9729,4.39366,0.0017228,0.0017228,0.0017228
30,1532.59,2.05783,1.30687,1.57447,0.00085,1,0.00352,0.00183,2.32989,23.4169,5.43556,0.0017129,0.0017129,0.0017129
31,1610.79,1.98464,1.30153,1.54369,0.01034,0.5,0.01132,0.00522,2.10737,21.2026,6.50187,0.001703,0.001703,0.001703
32,1686.98,1.95458,1.27099,1.57338,0.01034,0.5,0.01132,0.00522,2.10737,21.2026,6.50187,0.0016931,0.0016931,0.0016931
33,1763.95,2.00721,1.32224,1.57455,0.00809,0.5,0.0076,0.00322,2.19114,74.591,7.81696,0.0016832,0.0016832,0.0016832
34,1843.41,2.04747,1.36267,1.63115,0.00809,0.5,0.0076,0.00322,2.19114,74.591,7.81696,0.0016733,0.0016733,0.0016733
35,1916.98,1.92838,1.23487,1.53028,0.00736,0.5,0.00749,0.00224,2.78347,72.0469,7.33058,0.0016634,0.0016634,0.0016634
36,1988.75,1.93261,1.23362,1.53987,0.01063,0.5,0.00967,0.00176,3.33611,61.6058,5.95867,0.0016535,0.0016535,0.0016535
37,2060.06,1.9169,1.26803,1.55654,0.01063,0.5,0.00967,0.00176,3.33611,61.6058,5.95867,0.0016436,0.0016436,0.0016436
38,2131.68,1.86795,1.25653,1.52512,0.00873,0.5,0.00873,0.00187,3.18205,50.2915,3.88576,0.0016337,0.0016337,0.0016337
39,2207.23,1.92361,1.2814,1.56705,0.00401,0.5,0.00471,0.00085,3.08943,60.961,3.1423,0.0016238,0.0016238,0.0016238
40,2281.12,1.80298,1.10387,1.47746,0.00401,0.5,0.00471,0.00085,3.08943,60.961,3.1423,0.0016139,0.0016139,0.0016139
