epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7728,0.5534,51.7756,0.37148,0.00061,1,0.0065,0.003,2.23625,9.02286,1.91671,8e-05,8e-05,8e-05
2,25.0712,0.9507,29.0992,0.90064,0.00061,1,0.51423,0.15352,2.44453,9.27553,1.91568,0.000178218,0.000178218,0.000178218
3,37.7923,0.44055,38.6253,0.46864,0.00061,1,0.5253,0.26326,2.40067,8.57175,1.79448,0.000274456,0.000274456,0.000274456
4,50.1423,1.02908,42.9927,1.11487,0.00061,1,0.04422,0.0147,2.33126,8.33736,1.62111,0.000368714,0.000368714,0.000368714
5,62.5557,0.71082,37.7552,0.74097,0.00061,1,0.00616,0.00314,2.24634,9.7804,2.01657,0.000460992,0.000460992,0.000460992
6,75.1887,0.92175,28.6222,0.58669,0.00061,1,0.00599,0.00221,2.75986,8.92513,2.05253,0.00055129,0.00055129,0.00055129
7,87.365,1.81656,33.5479,1.37263,0.00061,1,0.00387,0.00121,2.59734,10.6149,2.52605,0.000639608,0.000639608,0.000639608
8,99.379,1.18101,37.7453,0.95349,0.00061,1,0.00392,0.00089,3.35799,11.4827,3.37834,0.000725946,0.000725946,0.000725946
9,111.664,1.49978,26.9872,1.0065,0.00061,1,0.00404,0.0018,3.01338,18.7658,3.09599,0.000810304,0.000810304,0.000810304
10,124.279,0.78997,31.2421,0.59285,0.00061,1,0.00466,0.00091,3.82318,10.6688,3.75822,0.000892682,0.000892682,0.000892682
11,136.883,1.61868,17.59,1.56698,0.00061,1,0.00879,0.00174,3.67747,10.3557,3.25023,0.00097308,0.00097308,0.00097308
12,149.559,0.39693,34.9625,0.39644,0.00061,1,0.00691,0.00244,3.02255,13.6806,2.90767,0.0010515,0.0010515,0.0010515
13,162.002,1.77763,23.9381,1.29673,0.00061,1,0.00396,0.00185,2.67754,12.4866,2.4866,0.00112794,0.00112794,0.00112794
14,174.334,1.37652,18.116,1.319,0.00061,1,0.00396,0.00185,2.67754,12.4866,2.4866,0.00120239,0.00120239,0.00120239
15,186.886,1.01224,21.872,0.99007,0.00061,1,0.00331,0.00198,2.52387,15.0937,2.16825,0.00127487,0.00127487,0.00127487
16,199.035,0,38.988,0,0.00061,1,0.00263,0.00159,2.48471,8.28499,2.11902,0.00134537,0.00134537,0.00134537
17,211.644,0.87842,26.5098,0.68893,0.00061,1,0.00795,0.00355,2.72251,10.0766,2.08062,0.00141389,0.00141389,0.00141389
18,224.093,1.33873,23.6648,1.11519,0.00061,1,0.00795,0.00355,2.72251,10.0766,2.08062,0.00148043,0.00148043,0.00148043
19,236.612,0.94724,21.405,0.8073,0.00061,1,0.00485,0.00191,3.12173,7.93415,2.62611,0.00154498,0.00154498,0.00154498
20,249.098,0.83979,19.3483,0.73718,0.00031,0.5,0.00112,0.0002,3.7412,6.35122,3.81892,0.00160756,0.00160756,0.00160756
21,261.46,0.52406,26.0932,0.40732,0.00031,0.5,0.00112,0.0002,3.7412,6.35122,3.81892,0.001604,0.001604,0.001604
22,274.494,1.45673,13.6082,1.31515,0.00035,0.5,0.0003,6e-05,3.56273,6.63297,3.65594,0.0015842,0.0015842,0.0015842
23,287.063,0.85752,19.9715,0.88228,0.00067,1,0.01089,0.00109,3.92299,6.94943,4.68641,0.0015644,0.0015644,0.0015644
