epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8659,1.14977,74.1664,1.04515,0.0003,0.5,0.00023,5e-05,3.3282,14.465,3.31503,4e-05,4e-05,4e-05
2,45.0096,3.15872,27.4957,3.34579,0.00061,1,0.00062,6e-05,3.66171,10.5599,3.52979,9.802e-05,9.802e-05,9.802e-05
3,64.2238,2.93627,20.7572,2.76974,0,0,0,0,3.97369,13.5207,3.81594,0.000153664,0.000153664,0.000153664
4,85.118,3.10879,22.3974,2.81572,0.0003,0.5,0.00029,3e-05,3.98277,10.3886,3.87525,0.000206932,0.000206932,0.000206932
5,109.466,3.093,38.4489,2.66159,0.00061,1,0.00651,0.00076,3.85081,14.8044,3.28564,0.000257824,0.000257824,0.000257824
6,128.476,0.91015,63.5949,0.8259,0.0003,0.5,0.00162,0.00027,4.24415,13.0426,3.41574,0.00030634,0.00030634,0.00030634
7,147.773,1.30783,51.9263,1.36656,0.0003,0.5,0.0013,0.00013,4.39869,13.9037,3.54714,0.00035248,0.00035248,0.00035248
8,174.615,2.31877,15.813,2.0859,0.0003,0.5,0.00109,0.00023,4.17267,15.0461,3.18499,0.000396244,0.000396244,0.000396244
9,199.231,1.83613,25.7682,1.73793,0.0003,0.5,0.00028,5e-05,3.8817,13.5481,4.0226,0.000437632,0.000437632,0.000437632
10,224.07,1.25562,23.7768,1.35325,0.00061,1,0.00106,0.00017,3.6447,17.9599,3.76157,0.000476644,0.000476644,0.000476644
11,243.532,1.52328,45.4386,1.51421,0.0003,0.5,0.00033,9e-05,3.91478,19.6012,3.94359,0.00051328,0.00051328,0.00051328
12,263.302,0.66374,53.1034,0.58424,0.0003,0.5,0.00025,0.0001,4.2556,22.694,4.44087,0.00054754,0.00054754,0.00054754
13,288.517,1.31366,40.2549,1.08914,0,0,0,0,4.73659,19.7133,4.39091,0.000579424,0.000579424,0.000579424
14,320.356,0.45943,51.0969,0.53599,0,0,0,0,4.68339,16.6641,4.79111,0.000608932,0.000608932,0.000608932
15,345.417,2.17134,14.536,2.39676,0,0,0,0,4.58923,19.6838,4.36775,0.000636064,0.000636064,0.000636064
16,367.233,1.27791,59.824,0.94422,0,0,0,0,4.77031,34.5135,4.8984,0.00066082,0.00066082,0.00066082
17,393.683,0,69.3162,0,0,0,0,0,5.0531,26.4179,5.08558,0.0006832,0.0006832,0.0006832
18,416.655,1.3615,33.4065,1.33809,0,0,0,0,5.10287,68.07,4.50478,0.000703204,0.000703204,0.000703204
19,440.179,0.79525,41.7342,0.73775,0,0,0,0,4.80509,139.567,4.33229,0.000720832,0.000720832,0.000720832
20,469.327,1.10048,29.8058,1.15287,0,0,0,0,4.3375,22.7851,4.15018,0.000736084,0.000736084,0.000736084
21,498.852,1.50767,35.8673,1.27098,0,0,0,0,4.41073,17.1818,3.8411,0.00074896,0.00074896,0.00074896
22,527.27,2.93613,24.6859,2.71408,0,0,0,0,4.71638,13.7168,3.71997,0.00075946,0.00075946,0.00075946
23,554.662,1.88848,35.9624,1.65075,0,0,0,0,4.47566,11.6338,4.24999,0.000767584,0.000767584,0.000767584
24,579.608,2.31297,24.0143,1.94707,0.00061,1,0.00071,0.0002,3.33642,10.8972,3.19089,0.000773332,0.000773332,0.000773332
25,602.187,1.85501,13.0065,1.60599,0.0003,0.5,0.00023,2e-05,3.4567,10.4556,3.34436,0.000776704,0.000776704,0.000776704
26,625.726,1.14911,18.1968,1.13192,0,0,0,0,4.14566,12.3013,5.0387,0.0007777,0.0007777,0.0007777
27,649.115,1.88942,11.356,1.91018,0,0,0,0,4.58031,17.3561,4.98701,0.00077632,0.00077632,0.00077632
28,670.799,0.64234,39.7082,0.62137,0,0,0,0,4.7592,12.8497,5.487,0.000772564,0.000772564,0.000772564
29,692.824,1.82447,13.7153,1.69115,0,0,0,0,4.7592,12.8497,5.487,0.000766432,0.000766432,0.000766432
30,714.823,1.8155,13.753,1.76201,0,0,0,0,4.71487,8.80017,4.6432,0.000757924,0.000757924,0.000757924
31,737.242,1.37684,17.982,1.2734,0.0003,0.5,0.00037,4e-05,4.36643,8.89071,5.17406,0.00074704,0.00074704,0.00074704
32,759.318,1.20094,8.80605,1.2886,0.0003,0.5,0.00036,7e-05,4.17455,9.81773,4.70795,0.00073378,0.00073378,0.00073378
33,781.352,0.90614,15.3548,0.88707,0.0003,0.5,0.00036,7e-05,4.17455,9.81773,4.70795,0.000718144,0.000718144,0.000718144
34,802.447,1.19055,20.0289,1.19671,0.0003,0.5,0.00034,0.0001,3.78798,11.0957,3.60393,0.0006932,0.0006932,0.0006932
35,825.937,1.93166,7.4572,1.71615,0.00061,1,0.00595,0.00086,3.87519,10.5807,3.23496,0.0006536,0.0006536,0.0006536
36,845.529,1.3562,20.4193,1.36221,0.0003,0.5,0.00534,0.00214,3.45252,9.27613,3.04897,0.000614,0.000614,0.000614
37,864.533,0.81694,19.3378,0.91171,0.0003,0.5,0.00534,0.00214,3.45252,9.27613,3.04897,0.0005744,0.0005744,0.0005744
38,886.853,0.86732,17.6458,0.7848,0.00061,1,0.01137,0.00227,3.24328,7.80733,2.63411,0.0005348,0.0005348,0.0005348
39,910.702,1.14317,23.2261,1.11461,0.00061,1,0.00418,0.00095,3.04256,9.2295,2.48014,0.0004952,0.0004952,0.0004952
40,933.991,1.74084,12.5094,1.57652,0.00061,1,0.00428,0.00073,2.93982,11.4247,2.39536,0.0004556,0.0004556,0.0004556
41,954.212,1.08391,21.3209,1.04775,0.00061,1,0.00428,0.00073,2.93982,11.4247,2.39536,0.000416,0.000416,0.000416
42,973.31,1.84427,30.8857,1.56225,0.00061,1,0.00209,0.00058,3.07823,10.4409,2.40133,0.0003764,0.0003764,0.0003764
43,992.102,1.08154,20.2302,1.10189,0.00061,1,0.00257,0.0003,3.15945,8.89061,2.53367,0.0003368,0.0003368,0.0003368
44,1010.18,0.38114,34.1999,0.47516,0.00061,1,0.00091,0.00016,3.1022,8.42697,2.59209,0.0002972,0.0002972,0.0002972
45,1029.04,1.09561,28.98,1.32735,0.00061,1,0.00091,0.00016,3.1022,8.42697,2.59209,0.0002576,0.0002576,0.0002576
46,1048.17,1.05696,19.2655,1.03513,0,0,0,0,2.81146,10.2055,2.68778,0.000218,0.000218,0.000218
47,1067.34,0.31934,32.9118,0.45123,0.0003,0.5,0.00048,5e-05,2.68967,12.0236,2.73594,0.0001784,0.0001784,0.0001784
48,1085.68,0.50268,32.9644,0.54232,0,0,0,0,2.76813,13.8944,2.81467,0.0001388,0.0001388,0.0001388
49,1104.36,0.78177,18.3772,0.84317,0,0,0,0,2.76813,13.8944,2.81467,9.92e-05,9.92e-05,9.92e-05
50,1122.56,0.45399,32.9237,0.51625,0,0,0,0,2.88119,14.9205,2.86605,5.96e-05,5.96e-05,5.96e-05
