epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3816,2.80524,2.78956,2.24619,0.47619,0.39011,0.2837,0.06752,2.8744,2.11249,2.27289,8e-05,8e-05,8e-05
2,154.374,2.62747,2.07774,1.97615,0.4409,0.35714,0.34587,0.09477,2.7135,2.0104,1.95014,0.000179109,0.000179109,0.000179109
3,228.516,2.44511,1.95118,1.84518,0.48539,0.45088,0.42949,0.126,2.65581,2.04093,1.84335,0.000277228,0.000277228,0.000277228
4,303.093,2.29778,1.96378,1.74993,0.41231,0.28022,0.2763,0.08104,2.71874,2.22847,1.81534,0.000374357,0.000374357,0.000374357
5,382.026,2.34081,1.82975,1.76427,0.41242,0.41209,0.36257,0.10394,2.67333,2.09404,1.85635,0.000470496,0.000470496,0.000470496
6,458.624,2.23653,1.67273,1.67509,0.34837,0.38775,0.27282,0.07946,2.61169,2.10628,1.87224,0.000565645,0.000565645,0.000565645
7,539.128,2.24048,1.67914,1.73325,0.37711,0.41758,0.32543,0.08518,2.58751,1.96859,2.04241,0.000659804,0.000659804,0.000659804
8,615.184,2.20024,1.64008,1.76845,0.36627,0.43407,0.35222,0.09211,2.59067,2.15848,2.08206,0.000752973,0.000752973,0.000752973
9,695.451,2.34317,1.70725,1.83758,0.44673,0.40659,0.37639,0.10654,2.56073,2.1254,2.0504,0.000845152,0.000845152,0.000845152
10,770.296,2.31644,1.75488,1.7968,0.41979,0.31319,0.29909,0.07039,2.75986,2.29278,2.24077,0.000936341,0.000936341,0.000936341
11,850.368,2.23481,1.76591,1.72266,0.42409,0.41209,0.34929,0.08976,2.75587,1.93885,2.2511,0.00102654,0.00102654,0.00102654
12,923.884,2.2061,1.59924,1.75333,0.471,0.32418,0.34674,0.08853,2.8119,2.08627,2.28163,0.00111575,0.00111575,0.00111575
13,995.834,2.18321,1.746,1.73314,0.41502,0.32967,0.29489,0.07614,2.86548,2.09467,2.25684,0.00120397,0.00120397,0.00120397
14,1068.66,2.27198,1.63236,1.71243,0.41502,0.32967,0.29489,0.07614,2.86548,2.09467,2.25684,0.0012912,0.0012912,0.0012912
15,1143.93,2.1842,1.56032,1.66914,0.49291,0.31868,0.34064,0.0879,2.82729,2.01224,2.22671,0.00137744,0.00137744,0.00137744
16,1216.97,2.22279,1.593,1.67393,0.26776,0.36264,0.24823,0.07449,2.83944,2.0577,2.33897,0.00146269,0.00146269,0.00146269
17,1287.42,2.21498,1.66865,1.71939,0.19127,0.31868,0.17034,0.04773,2.82856,2.23703,2.42268,0.00154694,0.00154694,0.00154694
18,1343.54,2.22679,1.63781,1.69739,0.19127,0.31868,0.17034,0.04773,2.82856,2.23703,2.42268,0.00163021,0.00163021,0.00163021
19,1393.32,2.1747,1.53617,1.69681,0.20791,0.33516,0.16506,0.04923,2.75497,2.29761,2.31809,0.00171249,0.00171249,0.00171249
20,1439.11,2.10577,1.53935,1.73272,0.15622,0.33516,0.10132,0.03199,2.65809,3.46376,2.21816,0.00179378,0.00179378,0.00179378
21,1482.9,2.21086,1.53001,1.84558,0.15622,0.33516,0.10132,0.03199,2.65809,3.46376,2.21816,0.001802,0.001802,0.001802
22,1525.15,2.09712,1.41225,1.67862,0.42742,0.33516,0.26823,0.07404,2.69703,2.2022,2.17199,0.0017921,0.0017921,0.0017921
23,1565.62,2.08092,1.46062,1.65392,0.35383,0.23626,0.16381,0.04339,2.7585,2.44472,2.17192,0.0017822,0.0017822,0.0017822
