epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3784,0.5534,51.7756,0.37148,0.00061,1,0.00646,0.003,2.23621,9.03886,1.91664,8e-05,8e-05,8e-05
2,40.5272,0.9507,29.0992,0.90064,0.00061,1,0.51195,0.15302,2.44444,9.28301,1.9155,0.000178218,0.000178218,0.000178218
3,57.0129,0.44055,38.6253,0.46864,0.00061,1,0.52625,0.26371,2.4005,8.58158,1.79425,0.000274456,0.000274456,0.000274456
4,71.9007,1.02908,42.9927,1.11487,0.00061,1,0.04422,0.0147,2.33102,8.34514,1.62096,0.000368714,0.000368714,0.000368714
5,86.3118,0.71082,37.7552,0.74097,0.00061,1,0.0064,0.00321,2.24624,9.78326,2.01657,0.000460992,0.000460992,0.000460992
6,99.9633,0.92175,28.6222,0.58669,0.00061,1,0.00557,0.00216,2.76008,8.93041,2.05277,0.00055129,0.00055129,0.00055129
7,113.97,1.81656,33.5479,1.37263,0.00061,1,0.00398,0.00125,2.59712,10.5832,2.52619,0.000639608,0.000639608,0.000639608
8,127.135,1.18101,37.7453,0.95349,0.00061,1,0.00385,0.00088,3.3582,11.48,3.37867,0.000725946,0.000725946,0.000725946
9,142.087,1.49978,26.9872,1.0065,0.00061,1,0.00409,0.00182,3.01365,18.7074,3.09577,0.000810304,0.000810304,0.000810304
10,156.502,0.78997,31.2421,0.59285,0.00061,1,0.00482,0.00093,3.82296,10.7256,3.75821,0.000892682,0.000892682,0.000892682
11,170.747,1.61868,17.59,1.56698,0.00061,1,0.00893,0.00181,3.67662,10.4903,3.24896,0.00097308,0.00097308,0.00097308
12,185.488,0.39693,34.9625,0.39644,0.00061,1,0.00677,0.00243,3.02323,13.9572,2.90736,0.0010515,0.0010515,0.0010515
13,199.939,1.77763,23.9381,1.29673,0.00061,1,0.00382,0.00184,2.67749,12.4142,2.48628,0.00112794,0.00112794,0.00112794
14,214.493,1.37652,18.116,1.319,0.00061,1,0.00382,0.00184,2.67749,12.4142,2.48628,0.00120239,0.00120239,0.00120239
15,228.389,1.01224,21.872,0.99007,0.00061,1,0.00326,0.00199,2.52337,14.717,2.16773,0.00127487,0.00127487,0.00127487
16,242.369,0,38.988,0,0.00061,1,0.00269,0.00162,2.48443,8.43299,2.11847,0.00134537,0.00134537,0.00134537
17,256.68,0.87842,26.5098,0.68893,0.00061,1,0.00791,0.0036,2.72214,10.2658,2.08052,0.00141389,0.00141389,0.00141389
18,270.772,1.33873,23.6648,1.11519,0.00061,1,0.00791,0.0036,2.72214,10.2658,2.08052,0.00148043,0.00148043,0.00148043
19,284.719,0.94724,21.405,0.8073,0.00061,1,0.00489,0.00194,3.12198,8.05441,2.6275,0.00154498,0.00154498,0.00154498
20,298.644,0.83979,19.3483,0.73718,0.0003,0.5,0.00112,0.0002,3.73678,6.41432,3.83046,0.00160756,0.00160756,0.00160756
21,312.95,0.52406,26.0932,0.40732,0.0003,0.5,0.00112,0.0002,3.73678,6.41432,3.83046,0.001604,0.001604,0.001604
22,327.374,1.45673,13.6082,1.31515,0.00034,0.5,0.00029,6e-05,3.56168,6.67282,3.6573,0.0015842,0.0015842,0.0015842
23,341.052,0.85752,19.9715,0.88228,0.00065,1,0.01089,0.00109,3.92171,6.96067,4.68155,0.0015644,0.0015644,0.0015644
